V	uW
0.2	0.083148862
0.22442002442	0.0835167384
0.24884004884	0.0829928979
0.27326007326	0.0826555322
0.29768009768	0.0825122726
0.3221001221	0.0826267126
0.34652014652	0.0826123028
0.37094017094	0.0829742532
0.39536019536	0.0833692511
0.41978021978	0.0835972642
0.4442002442	0.083479442
0.46862026862	0.0839354826
0.49304029304	0.0835413232
0.51746031746	0.0829717095
0.54188034188	0.0832319387
0.5663003663	0.0826894393
0.59072039072	0.0831497076
0.61514041514	0.0839270058
0.63956043956	0.0846491943
0.66398046398	0.0847780299
0.6884004884	0.0847568487
0.712820512821	0.0859240501
0.737240537241	0.0860011866
0.761660561661	0.0855527773
0.786080586081	0.0848890807
0.810500610501	0.0848195754
0.834920634921	0.084904336
0.859340659341	0.0851891357
0.883760683761	0.0856112692
0.908180708181	0.0859833875
0.932600732601	0.0857723208
0.957020757021	0.0862834497
0.981440781441	0.0864139906
1.00586080586	0.0863300755
1.03028083028	0.0866402985
1.0547008547	0.0875540636
1.07912087912	0.0882118485
1.10354090354	0.0867657661
1.12796092796	0.0857451923
1.15238095238	0.085990159
1.1768009768	0.0864826575
1.20122100122	0.0867530474
1.22564102564	0.0870183641
1.25006105006	0.0869573213
1.27448107448	0.0874209931
1.2989010989	0.0878651534
1.32332112332	0.087943981
1.34774114774	0.0876040787
1.37216117216	0.0878363338
1.39658119658	0.088477158
1.421001221	0.0890654164
1.44542124542	0.0895986005
1.46984126984	0.0900207127
1.49426129426	0.0898257682
1.51868131868	0.0889492924
V	uW
0.2	133.550726
0.22442002442	174.326546
0.24884004884	217.615903
0.27326007326	263.210008
0.29768009768	309.204974
0.3221001221	366.949185
0.34652014652	424.016966
0.37094017094	491.330924
0.39536019536	560.957938
0.41978021978	629.307353
0.4442002442	697.4563
0.46862026862	764.553202
0.49304029304	823.382987
0.51746031746	870.73067
0.54188034188	914.370758
0.5663003663	953.200914
0.59072039072	983.404927
0.61514041514	1002.80333
0.63956043956	1014.18514
0.66398046398	1023.0199
0.6884004884	1034.50194
0.712820512821	1043.15311
0.737240537241	1051.04456
0.761660561661	1062.35116
0.786080586081	1069.95017
0.810500610501	1085.09825
0.834920634921	1091.9288
0.859340659341	1093.87457
0.883760683761	1098.30871
0.908180708181	1111.369
0.932600732601	1122.16
0.957020757021	1135.21039
0.981440781441	1145.50022
1.00586080586	1147.6751
1.03028083028	1150.60294
1.0547008547	1167.25056
1.07912087912	1179.79897
1.10354090354	1190.59056
1.12796092796	1214.43241
1.15238095238	1230.99645
1.1768009768	1252.16122
1.20122100122	1286.37662
1.22564102564	1319.50434
1.25006105006	1358.48788
1.27448107448	1401.31975
1.2989010989	1444.31891
1.32332112332	1489.49306
1.34774114774	1526.71989
1.37216117216	1551.06373
1.39658119658	1565.53625
1.421001221	1576.66241
1.44542124542	1588.95983
1.46984126984	1615.89705
1.49426129426	1631.708
1.51868131868	1634.05039
1.5431013431	1635.05424
1.56752136752	1634.88684
1.59194139194	1636.89465
1.61636141636	1640.91005
1.64078144078	1645.00938
1.6652014652	1639.06976
1.68962148962	1635.05424
1.71404151404	1638.31678
1.73846153846	1637.22923
1.76288156288	1633.63211
V	uW
0.2	94.5915235
0.22442002442	121.894322
0.24884004884	152.225752
0.27326007326	184.910008
0.29768009768	222.728471
0.3221001221	263.089314
0.34652014652	308.572053
0.37094017094	357.705547
0.39536019536	407.259358
0.41978021978	459.091854
0.4442002442	512.238767
0.46862026862	561.775116
0.49304029304	605.655427
0.51746031746	642.641971
0.54188034188	677.523261
0.5663003663	702.497491
0.59072039072	723.385019
0.61514041514	743.116718
0.63956043956	759.422139
0.66398046398	767.265272
0.6884004884	775.191002
0.712820512821	783.488154
0.737240537241	783.901021
0.761660561661	781.011477
0.786080586081	789.308629
0.810500610501	802.435621
0.834920634921	806.191994
0.859340659341	810.815312
0.883760683761	816.594518
0.908180708181	820.805028
0.932600732601	830.216799
0.957020757021	835.252926
0.981440781441	841.56869
1.00586080586	845.325179
1.03028083028	855.521241
1.0547008547	859.73175
1.07912087912	863.818394
1.10354090354	877.605809
1.12796092796	886.315771
1.15238095238	897.296239
1.1768009768	918.968057
1.20122100122	939.814316
1.22564102564	961.981481
1.25006105006	988.813234
1.27448107448	1015.76897
1.2989010989	1044.7473
1.32332112332	1065.67598
1.34774114774	1084.00418
1.37216117216	1097.66785
1.39658119658	1105.84113
1.421001221	1116.94552
1.44542124542	1115.17031
1.46984126984	1116.82166
1.49426129426	1120.9083
1.51868131868	1120.00015
1.5431013431	1122.9309
1.56752136752	1122.51809
1.59194139194	1117.3581
1.61636141636	1113.89079
1.64078144078	1112.40463
1.6652014652	1109.10228
1.68962148962	1109.7627
1.71404151404	1108.40052
1.73846153846	1104.52017
1.76288156288	1103.11678
