V	%
0	0.0
0.004	2.56286377284e-05
0.008	0.000490671478991
0.012	0.00245335693502
0.016	0.00770675654714
0.02	0.01892463045
0.024	0.0393329241459
0.028	0.0725965423541
0.032	0.123740627728
0.036	0.19691083851
0.04	0.298737013479
0.044	0.434928168129
0.048	0.607878013295
0.052	0.834514338913
0.056	1.11020153826
0.06	1.44327102485
0.064	1.84541722876
0.068	2.29777961334
0.072	2.84836113263
0.076	3.46267015035
0.08	4.18557404974
0.084	5.00365348266
0.088	5.94480687598
0.092	6.98823774965
0.096	8.09179900776
0.1	9.41227335068
0.104	10.7479311765
0.108	12.1698780136
0.112	13.7152922061
0.116	15.4549243133
0.12	17.281956342
0.124	19.2181145836
0.128	21.1108067741
0.132	23.0539063501
0.136	25.232374434
0.14	27.4293416263
0.144	29.8639921429
0.148	32.2468585699
0.152	34.798499995
0.156	37.3006671994
0.16	40.0169272147
0.164	42.8589777395
0.168	45.6834524257
0.172	48.5171700693
0.176	51.5358652355
0.18	54.604494654
0.184	57.4349757691
0.188	60.6927491967
0.192	63.3516720364
0.196	66.19649237
0.2	68.8609616072
0.204	72.2616147815
0.208	74.6435445621
0.212	77.2493033094
0.216	79.806491132
0.22	81.7116642744
0.224	83.8008950598
0.228	85.4757862434
0.232	88.1957594022
0.236	89.7545762586
0.24	90.9753697103
0.244	92.1087809235
0.248	93.3323343805
0.252	94.2409958311
0.256	94.8356668307
0.26	95.5052603732
0.264	95.923746946
0.268	96.0398148598
0.272	96.5993407787
0.276	97.0298654969
0.28	97.1967979873
0.284	97.5038426145
0.288	97.7050058033
0.292	97.3697490923
0.296	98.1308917263
0.3	97.7979411277
0.304	98.2996703894
0.308	97.9736592011
0.312	98.3200222671
0.316	98.5095999206
0.32	98.0841876807
0.324	98.8092653545
0.328	97.7822152182
0.332	98.5105335434
0.336	98.3482215239
0.34	98.2802512183
0.344	98.0624422404
0.348	98.1720361809
0.352	98.3228020625
0.356	98.0934405332
0.36	97.497363144
0.364	97.7974747744
0.368	97.9191086926
0.372	98.0041847271
0.376	98.1017597629
0.38	97.7808289853
0.384	98.0101914308
0.388	98.4490362949
0.392	98.0532022149
0.396	97.7063856227
0.4	97.713312206
0.404	98.5775830532
0.408	98.2252270268
0.412	98.1512371904
0.416	98.237713201
0.42	98.2525054878
0.424	98.5429052421
0.428	98.309849535
0.432	98.8240640547
0.436	98.2631454894
0.44	98.0920533841
0.444	97.9190958656
0.448	98.6340008073
0.452	99.004402599
0.456	98.6441735394
0.46	98.9660177831
0.464	98.9872831268
0.468	98.6242944285
0.472	98.6085621055
0.476	98.4642958511
0.48	98.3542346411
0.484	98.6025618153
0.488	98.6992041444
0.492	98.7620940394
0.496	98.0596752719
0.5	98.8125050897
0.504	98.5576975288
0.508	98.8078782054
0.512	98.374126579
0.516	98.5202463357
0.52	98.3671734254
0.524	98.6931910272
0.528	98.8878747454
0.532	99.2189654281
0.536	100.0
