amplitude_cal,power,rabi_measured_no_ang,target power,rabi_des_no_cg,closest level,waist_size,cg_ang
0.1,0.000657741795,1074.5055802260329,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.10202702702702704,0.000686450629,1097.7049163634188,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.10405405405405406,0.000716692477,1121.6242195029618,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.10608108108108108,0.000746709877,1144.871919906372,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.10810810810810811,0.000777036883,1167.8895499270607,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.11013513513513515,0.000806791126,1190.0398704795425,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.11216216216216217,0.000837242056,1212.2898623082522,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.11418918918918919,0.000865540584,1232.6071247949455,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.11621621621621622,0.000894954021,1253.375835606255,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.11824324324324326,0.00092320604,1273.005483055397,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.12027027027027028,0.000952271046,1292.8890150635143,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1222972972972973,0.000979137258,1311.0001577852033,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.12432432432432433,0.001008605,1330.5816017002535,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.12635135135135137,0.00103974936,1350.968698001096,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1283783783783784,0.00106376165,1366.4794986906304,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1304054054054054,0.00109064893,1383.6410699101841,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.13243243243243244,0.0011218104,1403.2682097343097,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.13445945945945947,0.00114481233,1417.5817217320403,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.13648648648648648,0.0011748859,1436.0805543566519,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.13851351351351351,0.00120301661,1453.171151084471,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.14054054054054055,0.00122959306,1469.13483764455,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.14256756756756758,0.00125966663,1486.9924653452053,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.14459459459459462,0.0012851553,1501.9613650740296,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.14662162162162162,0.00130955584,1516.152779680087,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.14864864864864866,0.00133877469,1532.9736937250284,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1506756756756757,0.0013681486,1549.6998494577763,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1527027027027027,0.00139861077,1566.8570995421117,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.15472972972972973,0.00142246741,1580.1638360186466,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.15675675675675677,0.00144748995,1594.0015310411927,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1587837837837838,0.00148051616,1612.0834955951575,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.16081081081081083,0.00150833616,1627.159128662771,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.16283783783783784,0.00153475744,1641.3486010913136,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.16486486486486487,0.00155566109,1652.4885171201704,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1668918918918919,0.00158542383,1668.221240382361,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.16891891891891891,0.00161503116,1683.7259624732799,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.17094594594594595,0.00163982029,1696.5985189411456,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.17297297297297298,0.0016705154,1712.4038574390336,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.17500000000000002,0.00169468299,1724.74617641337,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.17702702702702705,0.00172436796,1739.7863856524286,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.17905405405405406,0.0017451162,1750.2219684388656,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.1810810810810811,0.00177363562,1764.4654413731373,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.18310810810810813,0.0018034759,1779.2465289329543,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
0.18513513513513513,0.00182904233,1791.8136221013642,0.0016867825082748456,1720.721162863643,0.17500000000000002,100,0.18257418583505536
