V	%
0.004	0.0
0.008	0.000377131796918
0.012	0.00221808856565
0.016	0.00734349439347
0.02	0.0183136818505
0.024	0.0379026795453
0.028	0.0712369241125
0.032	0.121697909787
0.036	0.192170296342
0.04	0.2946727986
0.044	0.425117604914
0.048	0.612119483344
0.052	0.825195988094
0.056	1.09073696227
0.06	1.43112360117
0.064	1.84074148891
0.068	2.29772419361
0.072	2.86362740553
0.076	3.48611597966
0.08	4.2368155816
0.084	5.11181346637
0.088	6.1526307376
0.092	7.21129072041
0.096	8.29835405501
0.1	9.55738319869
0.104	10.9465504015
0.108	12.5830816559
0.112	14.3574991719
0.116	16.4131035836
0.12	18.302164648
0.124	20.1029185776
0.128	22.0046337253
0.132	24.5193338269
0.136	26.9601895245
0.14	29.3483686064
0.144	31.975650438
0.148	34.5102388042
0.152	36.8741470796
0.156	39.3173253437
0.16	42.5080184804
0.164	45.7557800926
0.168	48.4483907801
0.172	52.049898844
0.176	55.619646343
0.18	58.2919442376
0.184	61.4131975784
0.188	63.8559215687
0.192	67.2460115268
0.196	70.2853542746
0.2	74.3975163922
0.204	76.387030439
0.208	79.5594857079
0.212	82.1276779473
0.216	83.9328294195
0.22	86.0990172274
0.224	89.1588179126
0.228	91.9600076211
0.232	92.6282969955
0.236	93.9316036298
0.24	95.6881053602
0.244	97.5752012155
0.248	98.7325437774
0.252	98.7991258925
0.256	98.7146185716
0.26	98.1180295084
0.264	99.0065170219
0.268	99.5647152624
0.272	99.4827780469
0.276	99.7209085594
0.28	99.2395216587
0.284	97.3217012675
0.288	97.6033628136
0.292	98.0335221875
0.296	100.0
