V	MHz
0.0	64.14843781
0.004884004884	64.17662784
0.00976800976801	64.23161921
0.014652014652	64.25106513
0.019536019536	64.30497214
0.02442002442	64.35361308
0.029304029304	64.37695598
0.034188034188	64.42904988
0.039072039072	64.44848556
0.043956043956	64.50025195
0.04884004884	64.55201315
0.0537240537241	64.57189752
0.0586080586081	64.62456234
0.0634920634921	64.66999179
0.0683760683761	64.69520396
0.0732600732601	64.74750119
0.0781440781441	64.76634826
0.0830280830281	64.8182314
0.0879120879121	64.86619435
0.0927960927961	64.88996198
0.0976800976801	64.94077508
0.102564102564	64.96053688
0.107448107448	65.01137292
0.112332112332	65.06079712
0.117216117216	65.08153236
0.1221001221	65.13238173
0.126984126984	65.15095959
0.131868131868	65.20271592
0.136752136752	65.25269148
0.141636141636	65.27205281
0.14652014652	65.32282773
0.151404151404	65.36745635
0.156288156288	65.39192986
0.161172161172	65.44218381
0.166056166056	65.46112174
0.17094017094	65.51183514
0.175824175824	65.55897363
0.180708180708	65.58160209
0.185592185592	65.63135656
0.190476190476	65.65015274
0.19536019536	65.70007201
0.200244200244	65.7477562
0.205128205128	65.76841591
0.210012210012	65.81823942
0.214896214896	65.83732183
0.21978021978	65.88618499
0.224664224664	65.93639491
0.229548229548	65.95429251
0.234432234432	66.00386257
0.239316239316	66.04813718
0.2442002442	66.07193403
0.249084249084	66.12177177
0.253968253968	66.14000621
0.258852258852	66.18924143
0.263736263736	66.23499909
0.26862026862	66.25635276
0.273504273504	66.30451402
0.278388278388	66.32299341
0.283272283272	66.37193695
0.288156288156	66.41913023
0.29304029304	66.43879626
0.297924297924	66.48627568
0.302808302808	66.50484339
0.307692307692	66.55326294
0.312576312576	66.60010679
0.31746031746	66.61783309
0.322344322344	66.66653228
0.327228327228	66.71065635
0.332112332112	66.73348327
0.336996336996	66.78137707
0.34188034188	66.79921119
0.346764346764	66.84658408
0.351648351648	66.89180319
0.356532356532	66.91157684
0.361416361416	66.95981906
0.3663003663	66.97729654
0.371184371184	67.02532473
0.376068376068	67.07123556
0.380952380952	67.08984426
0.385836385836	67.13747725
0.39072039072	67.15453604
0.395604395604	67.20183761
0.400488400488	67.24973042
0.405372405372	67.2670768
0.410256410256	67.31440184
0.41514041514	67.3563631
0.420024420024	67.37777014
0.424908424908	67.42456022
0.429792429792	67.44176539
0.434676434676	67.48832821
0.43956043956	67.53248063
0.444444444444	67.5521728
0.449328449328	67.5987273
0.454212454212	67.61559392
0.459096459096	67.66198355
0.46398046398	67.70708572
0.468864468864	67.72493078
0.473748473748	67.7710231
0.478632478632	67.78814428
0.483516483516	67.83423871
0.4884004884	67.88091611
0.493284493284	67.89727374
0.498168498168	67.94360326
0.503052503053	67.98550583
0.507936507937	68.00608498
0.512820512821	68.05072526
0.517704517705	68.06828895
0.522588522589	68.11371867
0.527472527473	68.15762929
0.532356532357	68.17589703
0.537240537241	68.22154812
0.542124542125	68.23809374
0.547008547009	68.28299634
0.551892551893	68.32822232
0.556776556777	68.34556605
0.561660561661	68.39157636
0.566544566545	68.43139669
0.571428571429	68.45328156
0.576312576313	68.49745238
0.581196581197	68.51482124
0.586080586081	68.55885183
0.590964590965	68.60032256
0.595848595849	68.61997118
0.600732600733	68.66495923
0.605616605617	68.68163089
0.610500610501	68.72622443
0.615384615385	68.76883927
0.620268620269	68.78689013
0.625152625153	68.83007069
0.630036630037	68.84753543
0.634920634921	68.89213291
0.639804639805	68.93762581
0.644688644689	68.95361663
0.649572649573	68.99799721
0.654456654457	69.03793468
0.659340659341	69.05843159
0.664224664225	69.10272744
0.669108669109	69.11861976
0.673992673993	69.16183124
0.678876678877	69.20394033
0.683760683761	69.22246016
0.688644688645	69.26621352
0.693528693529	69.28209976
0.698412698413	69.32594176
0.703296703297	69.36820017
0.708180708181	69.38473541
0.713064713065	69.42873672
0.717948717949	69.46771808
0.722832722833	69.48870255
0.727716727717	69.53217282
0.732600732601	69.54800639
0.737484737485	69.59156246
0.742368742369	69.63071203
0.747252747253	69.64994178
0.752136752137	69.69263163
0.757020757021	69.70936969
0.761904761905	69.75209653
0.766788766789	69.79272794
0.771672771673	69.8101948
0.776556776557	69.85326347
0.781440781441	69.86876924
0.786324786325	69.91158813
0.791208791209	69.9543543
0.796092796093	69.97072287
0.800976800977	70.01358622
0.805860805861	70.0512572
0.810744810745	70.07218138
0.815628815629	70.11400894
0.820512820513	70.1303231
0.825396825397	70.17171049
0.830280830281	70.21154794
0.835164835165	70.23029416
0.840048840049	70.27281903
0.844932844933	70.28821036
0.849816849817	70.33053364
0.854700854701	70.37101433
0.859584859585	70.38806151
0.864468864469	70.42945277
0.869352869353	70.44531754
0.874236874237	70.48782987
0.879120879121	70.5295566
0.884004884005	70.54550217
0.888888888889	70.5868794
0.893772893773	70.62537623
0.898656898657	70.64412728
0.903540903541	70.68603857
0.908424908425	70.70136255
0.913308913309	70.74358847
0.918192918193	70.78284132
0.923076923077	70.80037587
0.927960927961	70.84118241
0.932844932845	70.85726674
0.937728937729	70.89809384
0.942612942613	70.9392565
0.947496947497	70.95520328
0.952380952381	70.99728274
0.957264957265	71.01357301
0.962148962149	71.05469012
0.967032967033	71.09671659
0.971916971917	71.11183776
0.976800976801	71.15360352
0.981684981685	71.19118029
0.986568986569	71.21029916
0.991452991453	71.2513921
0.996336996337	71.2669165
1.00122100122	71.30820846
1.00610500611	71.34819458
1.01098901099	71.3651184
1.01587301587	71.40604337
1.02075702076	71.42159622
1.02564102564	71.46378429
1.03052503053	71.5047051
1.03540903541	71.52062671
1.04029304029	71.56121232
