V	uW
0.0	53.2080812
0.05	8.28207885
0.1	2.76041783
0.15	2.00746922
0.2	2.00746922
0.25	0.475119549
0.3	0.950239098
0.35	1.7504459
0.4	3.15078182
0.45	5.0512599
0.5	7.12677866
0.55	10.6996195
0.6	14.8604413
0.65	20.1837684
0.7	26.8562144
0.75	35.8461111
0.8	45.7992937
0.85	57.4773367
0.9	71.2559558
0.95	88.8373106
1.0	107.376931
1.05	130.957647
1.1	152.738095
1.15	179.219685
1.2	212.227911
1.25	245.561212
1.3	281.545217
1.35	323.055574
1.4	371.667702
1.45	419.754651
1.5	471.942651
1.55	527.456519
1.6	591.797521
1.65	654.838281
1.7	719.279342
1.75	785.220764
1.8	859.089196
1.85	927.531335
1.9	996.348332
1.95	1066.54095
2.0	1167.32158
2.05	1224.54588
2.1	1288.79736
2.15	1352.29609
2.2	1414.79098
2.25	1475.77992
2.3	1525.47448
2.35	1570.40032
2.4	1612.81647
2.45	1654.22878
2.5	1686.8565
2.55	1718.2295
2.6	1745.08465
2.65	1772.69278
2.7	1796.03405
2.75	1816.36377
2.8	1839.20329
2.85	1859.78378
2.9	1876.09764
2.95	1895.42351
3.0	1912.49023
3.05	1925.54144
3.1	1943.11014
3.15	1956.41234
3.2	1968.96144
3.25	1984.02046
3.3	1994.31065
3.35	2007.86372
3.4	2017.65215
3.45	2025.68364
3.5	2035.47184
3.55	2047.01698
3.6	2056.30343
3.65	2062.57799
3.7	2070.10773
3.75	2080.8999
3.8	2087.17445
3.85	2090.93932
3.9	2097.96662
3.95	2105.74735
4.0	2112.27289
4.05	2115.28479
4.1	2119.0492
4.15	2121.30835
4.2	2129.5906
4.25	2135.36317
4.3	2137.11988
4.35	2138.62606
4.4	2139.12805
4.45	2141.38674
4.5	2144.64962
4.55	2144.64962
4.6	2145.15161
4.65	2146.40633
4.7	2145.90458
4.75	2140.88475
4.8	2139.88102
4.85	2138.87705
4.9	2135.36317
4.95	2132.35128
5.0	2130.09259
5.05	2124.06903
5.1	2119.0492
5.15	2116.0373
5.2	2113.77861
5.25	2108.50802
5.3	2102.23347
5.35	2097.96662
5.4	2093.95122
5.45	2087.92766
5.5	2084.66477
5.55	2078.64121
5.6	2074.87633
5.65	2070.35872
5.7	2066.09187
5.75	2061.82501
5.8	2052.5388
5.85	2047.26798
5.9	2044.00532
5.95	2036.97779
6.0	2030.45225
6.05	2027.18959
6.1	2020.41306
6.15	2013.63629
6.2	2008.86792
6.25	1999.07948
6.3	1992.30295
6.35	1984.77344
6.4	1976.99293
6.45	1967.70648
6.5	1958.42027
6.55	1947.37688
6.6	1937.08658
6.65	1926.54529
6.7	1915.753
6.75	1908.72559
6.8	1897.18022
6.85	1885.88607
6.9	1877.85458
6.95	1867.0623
7.0	1857.77585
