V	uW
0.0	60.2355212
0.05	7.52913047
0.1	4.26631459
0.15	1.00361672
0.2	1.25452084
0.25	0.600158785
0.3	1.40035081
0.35	2.10052622
0.4	3.65090932
0.45	6.00149906
0.5	8.85221652
0.55	13.1482002
0.6	18.2773547
0.65	24.8918004
0.7	33.0495313
0.75	44.1677512
0.8	56.3324757
0.85	70.7642248
0.9	87.6975027
0.95	109.419503
1.0	134.958667
1.05	158.989642
1.1	188.121921
1.15	220.705042
1.2	261.565205
1.25	302.175351
1.3	347.136549
1.35	396.348856
1.4	454.563327
1.45	512.602797
1.5	574.818347
1.55	640.959828
1.6	718.079042
1.65	792.372564
1.7	868.741656
1.75	946.98614
1.8	1035.43326
1.85	1137.20365
1.9	1200.20052
1.95	1280.26411
2.0	1369.61404
2.05	1450.17961
2.1	1530.49419
2.15	1608.29874
2.2	1683.09186
2.25	1760.14355
2.3	1828.16002
2.35	1887.64301
2.4	1941.35332
2.45	1995.31484
2.5	2037.47978
2.55	2069.35476
2.6	2099.97478
2.65	2130.09259
2.7	2151.67715
2.75	2173.51248
2.8	2195.34803
2.85	2212.91673
2.9	2228.97972
2.95	2241.27807
3.0	2253.82717
3.05	2263.61561
3.1	2276.16495
3.15	2282.43903
3.2	2289.71778
3.25	2293.98464
3.3	2298.00004
3.35	2302.76887
3.4	2304.0236
3.45	2306.53374
3.5	2311.30235
3.55	2311.30235
3.6	2312.30631
3.65	2312.55754
3.7	2314.31401
3.75	2322.84749
3.8	2321.59276
3.85	2320.33781
3.9	2324.10268
3.95	2323.34947
4.0	2326.36137
4.05	2324.60466
4.1	2329.87502
4.15	2331.88295
4.2	2332.63592
4.25	2332.13394
4.3	2338.1575
4.35	2339.41246
4.4	2341.67138
4.45	2344.93404
4.5	2348.44792
4.55	2350.70661
4.6	2346.94174
4.65	2346.43975
4.7	2346.18876
4.75	2344.68305
4.8	2341.92237
4.85	2340.66718
4.9	2338.40849
4.95	2338.40849
5.0	2339.41246
5.05	2344.68305
5.1	2343.42786
5.15	2335.89881
5.2	2327.86685
5.25	2321.84329
5.3	2314.81623
5.35	2309.54564
5.4	2300.76071
5.45	2294.98814
5.5	2285.20017
5.55	2278.42364
5.6	2272.40007
5.65	2263.11362
5.7	2251.31749
5.75	2240.27387
5.8	2231.23864
5.85	2220.19549
5.9	2211.91323
5.95	2202.12457
6.0	2193.34033
6.05	2190.57966
6.1	2183.04992
6.15	2177.27735
6.2	2173.51248
6.25	2170.25005
6.3	2161.21413
6.35	2154.18707
6.4	2148.1635
6.45	2136.11615
6.5	2126.32772
6.55	2121.05736
6.6	2106.24933
6.65	2093.69999
6.7	2084.16278
6.75	2074.62534
6.8	2065.0879
6.85	2054.79772
6.9	2043.50357
6.95	2033.21315
7.0	2027.69134
