V	%
0.004	0.0
0.008	0.000178225127968
0.012	0.00100366111667
0.016	0.00321123262684
0.02	0.00800074941449
0.024	0.016706927255
0.028	0.0311269416045
0.032	0.0530735864779
0.036	0.0848751462858
0.04	0.128914494037
0.044	0.187833230947
0.048	0.266443620369
0.052	0.362759979706
0.056	0.483241910094
0.06	0.63458338819
0.064	0.809041680426
0.068	1.01622275759
0.072	1.26725000038
0.076	1.55989186296
0.08	1.89716098988
0.084	2.28836155365
0.088	2.74475424043
0.092	3.23533079338
0.096	3.80218952389
0.1	4.42844041404
0.104	5.04607855561
0.108	5.86996964314
0.112	6.73725842261
0.116	7.64626789691
0.12	8.68726034986
0.124	9.67266253446
0.128	10.7540335656
0.132	12.1425446745
0.136	13.4452681457
0.14	14.8225976401
0.144	16.3032726437
0.148	18.1551818061
0.152	19.7662781808
0.156	21.5973796452
0.16	23.4576779846
0.164	25.620250655
0.168	27.6023085603
0.172	29.8605368421
0.176	32.0500086197
0.18	34.2794048022
0.184	36.9324939689
0.188	39.5523135374
0.192	42.3041179253
0.196	45.0126644062
0.2	47.8986837843
0.204	50.6748960792
0.208	53.6108186348
0.212	56.397003049
0.216	59.1987234773
0.22	62.5417123129
0.224	65.9934013519
0.228	69.157806862
0.232	72.1791290374
0.236	75.3723797316
0.24	78.3704332589
0.244	81.2031999896
0.248	84.6970305196
0.252	87.8958322456
0.256	90.9382281605
0.26	93.5014804303
0.264	95.9416128985
0.268	97.5299121414
0.272	100.0
V	%
0	0.0
0.004	8.39315395573e-05
0.008	7.8420446359e-05
0.012	6.95221081829e-05
0.016	6.91352028878e-05
0.02	6.75878514743e-05
0.024	6.6040786827e-05
0.028	7.60989894073e-05
0.032	6.91352028878e-05
0.036	8.30633547813e-05
0.04	6.68140297631e-05
0.044	8.38371737917e-05
0.048	8.88664197756e-05
0.052	7.49385490083e-05
0.056	8.07419006098e-05
0.06	9.04143416233e-05
0.064	9.77647579517e-05
0.068	0.000104341925863
0.072	0.000105502652949
0.076	0.000100086210773
0.08	0.000109371744426
0.084	0.000131424133723
0.088	0.000134132497479
0.092	0.000159667068749
0.096	0.000170499093199
0.1	0.000173594655769
0.104	0.000192165429477
0.108	0.000218860444323
0.112	0.000233949328784
0.116	0.000272637372717
0.12	0.000285792287156
0.124	0.000326027964344
0.128	0.000365878163475
0.132	0.000397989042913
0.136	0.000431261525464
0.14	0.000482330673564
0.144	0.000532625955786
0.148	0.000593754191787
0.152	0.000650626088008
0.156	0.000705177466933
0.16	0.000773269414704
0.164	0.000861093210248
0.168	0.000926089649228
0.172	0.00101855641921
0.176	0.00111682580306
0.18	0.00121045213304
0.184	0.00132999994697
0.188	0.00144490620839
0.192	0.00155246003976
0.196	0.00169173975627
0.2	0.00183450076626
0.204	0.00197842275023
0.208	0.00214787976699
0.212	0.00230534226897
0.216	0.00249414375214
0.22	0.00270190217818
0.224	0.0029065647054
0.228	0.00311741850599
0.232	0.00336696052447
0.236	0.00361456795968
0.24	0.00388577601918
0.244	0.00416588198766
0.248	0.00445450062934
0.252	0.00477677735634
0.256	0.00513271392422
0.26	0.00548013816841
0.264	0.00585000137182
0.268	0.00627248224071
0.272	0.00673094348445
0.276	0.00719985092816
0.28	0.00767572203915
0.284	0.00821929808356
0.288	0.00877254705227
0.292	0.00938847182271
0.296	0.0100086503441
0.3	0.0106946012651
0.304	0.0114207890524
0.308	0.0122119732231
0.312	0.0130828564608
0.316	0.0139564476129
0.32	0.0149062538218
0.324	0.015914094828
