V	%
0.004	0.0
0.008	0.000188701198665
0.012	0.00104504944377
0.016	0.00339306041732
0.02	0.00845231142352
0.024	0.0174812225167
0.028	0.0326322332103
0.032	0.0552528648427
0.036	0.0887674460405
0.04	0.135235473304
0.044	0.198241948091
0.048	0.280887466162
0.052	0.380472742518
0.056	0.512998241041
0.06	0.669059513051
0.064	0.85991805533
0.068	1.08324997966
0.072	1.3486186704
0.076	1.6503338639
0.08	2.00432449283
0.084	2.43725173337
0.088	2.88018983111
0.092	3.38764207869
0.096	4.02272889629
0.1	4.72641167969
0.104	5.45369001437
0.108	6.26519557254
0.112	7.1719785421
0.116	8.18061106623
0.12	9.28939831533
0.124	10.3616489342
0.128	11.5552627048
0.132	12.8705354959
0.136	14.3499832773
0.14	15.8446615869
0.144	17.5670324438
0.148	19.1403654862
0.152	20.7206646896
0.156	22.8245270895
0.16	24.8188027739
0.164	26.7923439584
0.168	29.0660174032
0.172	31.2399743199
0.176	33.9628482791
0.18	36.2848964988
0.184	38.7747793572
0.188	41.748422796
0.192	44.2511374901
0.196	47.2119433685
0.2	50.4215395566
0.204	53.2747349284
0.208	56.5702248421
0.212	59.5053638907
0.216	62.8284998042
0.22	65.7843676279
0.224	69.1766124213
0.228	72.3062324558
0.232	75.5425065756
0.236	78.7876397808
0.24	81.9093658369
0.244	85.7715513693
0.248	88.1587530901
0.252	91.1857062
0.256	93.9865799065
0.26	95.9700029252
0.264	97.8556712141
0.268	100.0
V	%
0.008	0.0
0.012	1.76886890711e-06
0.016	1.90175383898e-05
0.02	1.41522525454e-05
0.024	4.42233931036e-06
0.028	3.53773781422e-06
0.032	7.51777642192e-06
0.036	1.72483450233e-05
0.04	1.41522525454e-05
0.044	3.09544346817e-06
0.048	2.1671330165e-05
0.052	7.96039849654e-06
0.056	2.56520208699e-05
0.06	2.69789167121e-05
0.064	1.9459836005e-05
0.068	2.60936631188e-05
0.072	4.46692284437e-05
0.076	4.59961242859e-05
0.08	6.14755987185e-05
0.084	7.34170093409e-05
0.088	7.07632175657e-05
0.092	9.24342184584e-05
0.096	0.000111010766787
0.1	0.000128258777816
0.104	0.000156121965299
0.108	0.000190619625183
0.112	0.000218482806763
0.116	0.000243249907853
0.12	0.00026315268349
0.124	0.000307822246019
0.128	0.000355587548506
0.132	0.00040689125607
0.136	0.000445811274606
0.14	0.000486501126347
0.144	0.00056124469245
0.148	0.000603702738299
0.152	0.000689504113011
0.156	0.000755402370644
0.16	0.000838107325241
0.164	0.000940715647547
0.168	0.00103049680569
0.172	0.00111585589305
0.176	0.00122907812839
0.18	0.00136264419808
0.184	0.00149046193244
0.188	0.00161164453922
0.192	0.00176688222975
