amplitude_cal,power,rabi,target power,rabi_freq,closest level,waist_size
0.1,0.000124575527,-213.44043802844766,6.565555639771556e-06,49,0.1,100
0.10202702702702704,0.000128709988,-216.95340064334283,6.565555639771556e-06,49,0.1,100
0.10405405405405406,0.000134013535,-221.3781065195741,6.565555639771556e-06,49,0.1,100
0.10608108108108108,0.000139100302,-225.54041406832258,6.565555639771556e-06,49,0.1,100
0.10810810810810811,0.000143660582,-229.20767071459633,6.565555639771556e-06,49,0.1,100
0.11013513513513515,0.000148700899,-233.19387223720992,6.565555639771556e-06,49,0.1,100
0.11216216216216217,0.000153656045,-237.04738145837095,6.565555639771556e-06,49,0.1,100
0.11418918918918919,0.000159362215,-241.4087546665189,6.565555639771556e-06,49,0.1,100
0.11621621621621622,0.000164410274,-245.2024546893223,6.565555639771556e-06,49,0.1,100
0.11824324324324326,0.000169644147,-249.0747924837616,6.565555639771556e-06,49,0.1,100
0.12027027027027028,0.000175675494,-253.46379244266146,6.565555639771556e-06,49,0.1,100
0.1222972972972973,0.000180499017,-256.9199078130729,6.565555639771556e-06,49,0.1,100
0.12432432432432433,0.000186034842,-260.82996425331135,6.565555639771556e-06,49,0.1,100
0.12635135135135137,0.000192290725,-265.17923011755596,6.565555639771556e-06,49,0.1,100
0.1283783783783784,0.000196827779,-268.2894115645849,6.565555639771556e-06,49,0.1,100
0.1304054054054054,0.000204082433,-273.1889623334032,6.565555639771556e-06,49,0.1,100
0.13243243243243244,0.000209951177,-277.089133022539,6.565555639771556e-06,49,0.1,100
0.13445945945945947,0.000215277978,-280.5822152926505,6.565555639771556e-06,49,0.1,100
0.13648648648648648,0.000220736372,-284.11704370384666,6.565555639771556e-06,49,0.1,100
0.13851351351351351,0.000226667078,-287.9085485030811,6.565555639771556e-06,49,0.1,100
0.14054054054054055,0.000233511382,-292.2229791963372,6.565555639771556e-06,49,0.1,100
0.14256756756756758,0.000239728528,-296.0875840400182,6.565555639771556e-06,49,0.1,100
0.14459459459459462,0.000244745606,-299.1698259163282,6.565555639771556e-06,49,0.1,100
0.14662162162162162,0.000251280231,-303.13738389628145,6.565555639771556e-06,49,0.1,100
0.14864864864864866,0.000257234147,-306.7076769610531,6.565555639771556e-06,49,0.1,100
0.1506756756756757,0.000263714523,-310.5470161183735,6.565555639771556e-06,49,0.1,100
0.1527027027027027,0.000269892975,-314.1637897915002,6.565555639771556e-06,49,0.1,100
0.15472972972972973,0.000275064929,-317.15966283010476,6.565555639771556e-06,49,0.1,100
0.15675675675675677,0.000282133784,-321.2091320089637,6.565555639771556e-06,49,0.1,100
0.1587837837837838,0.00028730568,-324.1398620748596,6.565555639771556e-06,49,0.1,100
0.16081081081081083,0.000294382247,-328.10749030755113,6.565555639771556e-06,49,0.1,100
0.16283783783783784,0.000300065207,-331.259359348626,6.565555639771556e-06,49,0.1,100
0.16486486486486487,0.000306715956,-334.9103134578032,6.565555639771556e-06,49,0.1,100
0.1668918918918919,0.000313738361,-338.7225800304802,6.565555639771556e-06,49,0.1,100
0.16891891891891891,0.000319475454,-341.8055301269449,6.565555639771556e-06,49,0.1,100
0.17094594594594595,0.000327682414,-346.16798823039005,6.565555639771556e-06,49,0.1,100
0.17297297297297298,0.000334340875,-349.6673436716417,6.565555639771556e-06,49,0.1,100
0.17500000000000002,0.000340225088,-352.7308984002245,6.565555639771556e-06,49,0.1,100
0.17702702702702705,0.00034607065,-355.7482081625745,6.565555639771556e-06,49,0.1,100
0.17905405405405406,0.00035437828,-359.9928581467161,6.565555639771556e-06,49,0.1,100
0.1810810810810811,0.00036486928,-365.2826012155918,6.565555639771556e-06,49,0.1,100
0.18310810810810813,0.000373625924,-369.6398948378467,6.565555639771556e-06,49,0.1,100
0.18513513513513513,0.000377110031,-371.35936397273235,6.565555639771556e-06,49,0.1,100
0.18716216216216217,0.000381561927,-373.5449363984604,6.565555639771556e-06,49,0.1,100
0.1891891891891892,0.000392300659,-378.76501295838136,6.565555639771556e-06,49,0.1,100
0.19121621621621623,0.000393578113,-379.38120058638833,6.565555639771556e-06,49,0.1,100
0.19324324324324327,0.000400546298,-382.72488220936197,6.565555639771556e-06,49,0.1,100
0.19527027027027027,0.000408753287,-386.62591961413943,6.565555639771556e-06,49,0.1,100
0.1972972972972973,0.000419430085,-391.6427813833088,6.565555639771556e-06,49,0.1,100
0.19932432432432434,0.000425097533,-394.279892319384,6.565555639771556e-06,49,0.1,100
0.20135135135135135,0.00043003718,-396.56404850454203,6.565555639771556e-06,49,0.1,100
0.20337837837837838,0.000438460964,-400.42925963349654,6.565555639771556e-06,49,0.1,100
0.20540540540540542,0.000446869177,-404.2504732420841,6.565555639771556e-06,49,0.1,100
0.20743243243243245,0.000450299121,-405.79891973407325,6.565555639771556e-06,49,0.1,100
0.20945945945945948,0.000456733047,-408.68768855101973,6.565555639771556e-06,49,0.1,100
0.2114864864864865,0.000464328361,-412.0718452997493,6.565555639771556e-06,49,0.1,100
0.21351351351351353,0.000468207349,-413.78948464124875,6.565555639771556e-06,49,0.1,100
0.21554054054054056,0.000475802633,-417.1322398764495,6.565555639771556e-06,49,0.1,100
0.21756756756756757,0.000479395152,-418.7040443749542,6.565555639771556e-06,49,0.1,100
0.2195945945945946,0.000484419899,-420.89263312359685,6.565555639771556e-06,49,0.1,100
0.22162162162162163,0.000489994534,-423.3074916846395,6.565555639771556e-06,49,0.1,100
0.22364864864864867,0.000499076385,-427.2123975815271,6.565555639771556e-06,49,0.1,100
0.22567567567567567,0.000503497256,-429.10037195921274,6.565555639771556e-06,49,0.1,100
