V	MHz
0.0	64.0794435
0.004884004884	64.10332982
0.00976800976801	64.15873536
0.014652014652	64.17833169
0.019536019536	64.23139912
0.02442002442	64.2841121
0.029304029304	64.30455785
0.034188034188	64.35698378
0.039072039072	64.37707846
0.043956043956	64.42860954
0.04884004884	64.4812495
0.0537240537241	64.50172918
0.0586080586081	64.55396343
0.0634920634921	64.57318513
0.0683760683761	64.62544023
0.0732600732601	64.67710801
0.0781440781441	64.69641392
0.0830280830281	64.74838671
0.0879120879121	64.76818545
0.0927960927961	64.82090034
0.0976800976801	64.87196725
0.102564102564	64.89130834
0.107448107448	64.94268025
0.112332112332	64.98866475
0.117216117216	65.01289635
0.1221001221	65.06304272
0.126984126984	65.08325143
0.131868131868	65.13383985
0.136752136752	65.17981555
0.141636141636	65.20363823
0.14652014652	65.25479714
0.151404151404	65.27356562
0.156288156288	65.32328581
0.161172161172	65.36669504
0.166056166056	65.39086226
0.17094017094	65.44153615
0.175824175824	65.46096904
0.180708180708	65.51069252
0.185592185592	65.55701727
0.190476190476	65.57993804
0.19536019536	65.62928688
0.200244200244	65.64839046
0.205128205128	65.69836629
0.210012210012	65.74356515
0.214896214896	65.76598248
0.21978021978	65.81497619
0.224664224664	65.83388979
0.229548229548	65.88277029
0.234432234432	65.92815112
0.239316239316	65.95085311
0.2442002442	66.00078728
0.249084249084	66.02001341
0.253968253968	66.06875192
0.258852258852	66.11442209
0.263736263736	66.13643273
0.26862026862	66.18565781
0.273504273504	66.2039856
0.278388278388	66.25213068
0.283272283272	66.29769994
0.288156288156	66.31970146
0.29304029304	66.36817463
0.297924297924	66.38599096
0.302808302808	66.43389699
0.307692307692	66.47890834
0.312576312576	66.50047588
0.31746031746	66.54656574
0.322344322344	66.56440612
0.327228327228	66.61325384
0.332112332112	66.65903196
0.336996336996	66.68002926
0.34188034188	66.72809968
0.346764346764	66.74638933
0.351648351648	66.79380323
0.356532356532	66.8382342
0.361416361416	66.85946231
0.3663003663	66.90686593
0.371184371184	66.92524035
0.376068376068	66.97185723
0.380952380952	67.01691416
0.385836385836	67.03728768
0.39072039072	67.08384474
0.395604395604	67.10189174
0.400488400488	67.14976459
0.405372405372	67.19423868
0.410256410256	67.21407573
0.41514041514	67.26048879
0.420024420024	67.27846666
0.424908424908	67.32478035
0.429792429792	67.36912045
0.434676434676	67.38841671
0.43956043956	67.43451382
0.444444444444	67.45250742
0.449328449328	67.49823558
0.454212454212	67.54234153
0.459096459096	67.5618556
0.46398046398	67.60703023
0.468864468864	67.62463032
0.473748473748	67.6692402
0.478632478632	67.71352282
0.483516483516	67.73261031
0.4884004884	67.77909078
0.493284493284	67.79630942
0.498168498168	67.84228269
0.503052503053	67.88574351
0.507936507937	67.90484804
0.512820512821	67.94897661
0.517704517705	67.96651067
0.522588522589	68.01205545
0.527472527473	68.05630392
0.532356532357	68.07454134
0.537240537241	68.119287
0.542124542125	68.13665475
0.547008547009	68.18057806
0.551892551893	68.22586041
0.556776556777	68.24381996
0.561660561661	68.28908406
0.566544566545	68.30599674
0.571428571429	68.35088146
0.576312576313	68.39553109
0.581196581197	68.41286533
0.586080586081	68.45688974
0.590964590965	68.47350824
0.595848595849	68.51807363
0.600732600733	68.56221627
0.605616605617	68.57944821
0.610500610501	68.62305372
0.615384615385	68.6402064
0.620268620269	68.68379512
0.625152625153	68.72720591
0.630036630037	68.74316267
0.634920634921	68.78683599
0.639804639805	68.80373105
0.644688644689	68.84735516
0.649572649573	68.89171964
0.654456654457	68.90808874
0.659340659341	68.95230026
0.664224664225	68.96891502
0.669108669109	69.01214904
0.673992673993	69.05629271
0.678876678877	69.07293797
0.683760683761	69.11628508
0.688644688645	69.1330267
0.693528693529	69.17602036
0.698412698413	69.21907395
0.703296703297	69.23591939
0.708180708181	69.27966127
0.713064713065	69.29617877
0.717948717949	69.3402335
0.722832722833	69.3836467
0.727716727717	69.39991533
0.732600732601	69.44321114
0.737484737485	69.45904275
0.742368742369	69.50146022
0.747252747253	69.54452713
0.752136752137	69.5604116
0.757020757021	69.60399136
0.761904761905	69.61986879
0.766788766789	69.66265737
0.771672771673	69.70531496
0.776556776557	69.72066519
0.781440781441	69.76256599
0.786324786325	69.77854696
0.791208791209	69.82039087
0.796092796093	69.86307654
0.800976800977	69.87909852
0.805860805861	69.92156804
0.810744810745	69.95993075
0.815628815629	69.98006674
0.820512820513	70.0223906
0.825396825397	70.03802428
0.830280830281	70.08035852
0.835164835165	70.11797762
0.840048840049	70.13763322
0.844932844933	70.17917734
0.849816849817	70.19538197
0.854700854701	70.23680658
0.859584859585	70.27475295
0.864468864469	70.29462217
0.869352869353	70.33712122
0.874236874237	70.3534228
0.879120879121	70.39520827
0.884004884005	70.43303157
0.888888888889	70.45201655
0.893772893773	70.49317015
0.898656898657	70.50903477
0.903540903541	70.5497015
0.908424908425	70.58865978
0.913308913309	70.60734769
0.918192918193	70.64858587
0.923076923077	70.66402204
0.927960927961	70.70519706
0.932844932845	70.74286966
0.937728937729	70.76131026
0.942612942613	70.80077066
0.947496947497	70.8159336
0.952380952381	70.85756356
0.957264957265	70.89661399
0.962148962149	70.91457547
0.967032967033	70.95572169
0.971916971917	70.9714938
0.976800976801	71.01216607
0.981684981685	71.05069769
0.986568986569	71.06894509
0.991452991453	71.1103267
0.996336996337	71.12506921
1.00122100122	71.16587001
1.00610500611	71.20535633
1.01098901099	71.22249852
1.01587301587	71.26273342
1.02075702076	71.27891361
1.02564102564	71.32053549
1.03052503053	71.36039377
1.03540903541	71.37776563
1.04029304029	71.41846174
