V	uW
1.0	2389.96488
1.02442002442	2391.72182
1.04884004884	2401.34215
1.07326007326	2399.92002
1.09768009768	2414.8107
1.1221001221	2421.67059
1.14652014652	2445.01047
1.17094017094	2438.56898
1.19536019536	2442.83536
1.21978021978	2454.71462
1.2442002442	2463.74938
1.26862026862	2469.10355
1.29304029304	2469.94011
1.31746031746	2472.11521
1.34188034188	2476.38137
1.3663003663	2485.83476
1.39072039072	2490.10115
1.41514041514	2484.41263
1.43956043956	2492.44343
1.46398046398	2501.14361
1.4884004884	2520.55167
1.51282051282	2512.10225
1.53724053724	2507.83586
1.56166056166	2498.46652
1.58608058608	2514.52858
1.6105006105	2542.55324
1.63492063492	2532.01253
1.65934065934	2534.18763
1.68376068376	2534.02023
1.70818070818	2541.54927
1.7326007326	2532.51474
1.75702075702	2539.87615
1.78144078144	2541.80026
1.80586080586	2550.33327
1.83028083028	2551.7554
1.8547008547	2555.18523
1.87912087912	2546.73581
1.90354090354	2546.73581
1.92796092796	2546.48505
1.95238095238	2568.40279
1.9768009768	2570.7453
2.00122100122	2582.54074
2.02564102564	2591.24115
2.05006105006	2590.90634
2.07448107448	2589.31681
2.0989010989	2597.09684
2.12332112332	2593.24885
2.14774114774	2597.01326
2.17216117216	2599.43912
2.19658119658	2609.72884
2.221001221	2610.81662
2.24542124542	2612.40592
2.26984126984	2612.99149
2.29426129426	2619.68398
2.31868131868	2618.01109
2.3431013431	2620.60412
2.36752136752	2623.61579
2.39194139194	2629.38789
2.41636141636	2642.18729
2.44078144078	2647.45788
2.4652014652	2650.30237
2.48962148962	2667.7025
2.51404151404	2658.91873
2.53846153846	2654.23371
2.56288156288	2662.43215
2.5873015873	2660.84285
2.61172161172	2652.728
2.63614163614	2652.8954
2.66056166056	2661.67917
2.68498168498	2653.81532
2.7094017094	2652.728
2.73382173382	2658.41675
2.75824175824	2647.54146
2.78266178266	2674.47857
2.80708180708	2675.56636
2.8315018315	2661.67894
2.85592185592	2663.93763
2.88034188034	2661.512
2.90476190476	2670.63011
2.92918192918	2663.5197
2.9536019536	2659.33666
2.97802197802	2659.08591
3.00244200244	2657.57996
