V	%
0.004	0.0
0.008	0.000419863624696
0.012	0.00277464105686
0.016	0.00916584014795
0.02	0.0227470204219
0.024	0.0472289487565
0.028	0.0868832298832
0.032	0.146641837499
0.036	0.232426378762
0.04	0.350871566839
0.044	0.50953362325
0.048	0.718304404815
0.052	0.975114692673
0.056	1.30047941822
0.06	1.68879998753
0.064	2.15521903992
0.068	2.68737792521
0.072	3.32987791411
0.076	4.04677548916
0.08	4.90806156862
0.084	5.90333538519
0.088	6.99435503425
0.092	8.1567063573
0.096	9.47489729966
0.1	10.928373975
0.104	12.5376896619
0.108	14.2779958326
0.112	16.1953089769
0.116	18.1399251292
0.12	20.3293410698
0.124	22.5764332843
0.128	24.8262829142
0.132	27.3322890597
0.136	29.6431860294
0.14	32.5645587678
0.144	35.252167944
0.148	38.1250729336
0.152	41.0669988896
0.156	44.0791664878
0.16	46.9726181307
0.164	50.0783645656
0.168	53.1000536532
0.172	56.2413741875
0.176	59.4084686486
0.18	62.7734273303
0.184	65.7015465159
0.188	68.9616581315
0.192	71.4680008243
0.196	74.3123672996
0.2	77.2420035925
0.204	79.6904780025
0.208	82.1389353937
0.212	84.1458379784
0.216	86.3110910678
0.22	88.3667112741
0.224	90.1086659009
0.228	91.9693718579
0.232	93.4220191084
0.236	94.2290350933
0.24	95.4654605171
0.244	96.0592967915
0.248	96.747552329
0.252	97.1952181119
0.256	97.6002602304
0.26	97.0429536629
0.264	97.3748926051
0.268	97.4266796946
0.272	97.1251844034
0.276	97.4266705774
0.28	97.904780619
0.284	97.539354694
0.288	97.3688077649
0.292	97.6185335933
0.296	97.4875767217
0.3	97.3718589983
0.304	96.6318346057
0.308	96.9059107355
0.312	96.7384156476
0.316	96.5343726185
0.32	96.4399715898
0.324	96.6379200537
0.328	96.418655503
0.332	96.1293396172
0.336	95.9740233269
0.34	95.6573059063
0.344	95.6603571397
0.348	95.3101357174
0.352	95.4837338799
0.356	95.4106313114
0.36	95.8552628796
0.364	95.1304697336
0.368	95.5324515015
0.372	95.572041559
0.376	94.9842901248
0.38	95.3497251671
0.384	95.9070323425
0.388	95.0756490373
0.392	94.9172900231
0.396	95.1182903282
0.4	95.3253754735
0.404	95.9070323425
0.408	95.4715544745
0.412	94.3599834555
0.416	95.6786311103
0.42	96.1872115469
0.424	96.3455790705
0.428	95.3619045725
0.432	96.1932963871
0.436	96.838919751
0.44	97.2683030537
0.444	96.8115005895
0.448	97.1586798956
0.452	97.993105317
0.456	97.3444489541
0.46	97.0064154466
0.464	97.3383543889
0.468	97.4388499828
0.472	97.694661867
0.476	97.3505337943
0.48	97.6398502879
0.484	97.8895761163
0.488	97.7921056197
0.492	98.2336950717
0.496	98.2732851292
0.5	97.9717892301
0.504	97.8286529531
0.508	98.2458835944
0.512	98.6569935343
0.516	98.9463094201
0.52	98.322002143
0.524	98.7696770431
0.528	98.4986436373
0.532	98.0844818561
0.536	98.117968839
0.54	97.7921056197
0.544	98.5564979404
0.548	99.116847232
0.552	98.3950876927
0.556	98.7818655657
0.56	98.7178990708
0.564	99.147300608
0.568	99.1838473337
0.572	98.8031816525
0.576	99.1077020411
0.58	97.8926012136
0.584	97.3687986477
0.588	97.0977652419
0.592	98.1118748816
0.596	98.590001942
0.6	99.2904283756
0.604	98.8336344208
0.608	99.1533854482
0.612	98.8001298113
0.616	99.5340602465
0.62	98.6539508103
0.624	98.8366680275
0.628	99.0772577823
0.632	98.023558693
0.636	99.0955311451
0.64	99.5645130148
0.644	100.0
