V	%
0	0.0
0.004	0.000332657646813
0.008	0.000637128439411
0.012	0.00280218569348
0.016	0.00874131853879
0.02	0.0213107696118
0.024	0.0445791506311
0.028	0.0823312873154
0.032	0.140655851777
0.036	0.224467863049
0.04	0.339184026086
0.044	0.494216394159
0.048	0.697273076186
0.052	0.955004849951
0.056	1.27079026865
0.06	1.64294964125
0.064	2.10449801453
0.068	2.62595908403
0.072	3.25483055097
0.076	3.98958350989
0.08	4.81468527081
0.084	5.76950767109
0.088	6.86934547911
0.092	8.08841130461
0.096	9.31108435393
0.1	10.7662055731
0.104	12.3007109185
0.108	14.1320152236
0.112	15.9338511007
0.116	18.0820992066
0.12	19.8427403185
0.124	22.3199587276
0.128	24.5902964405
0.132	26.8780718488
0.136	30.0153441143
0.14	32.8738631316
0.144	35.3492846613
0.148	37.9678358316
0.152	40.5812782379
0.156	43.8788274457
0.16	46.9418297709
0.164	49.8616894669
0.168	53.227506684
0.172	56.7953927214
0.176	59.6382667519
0.18	62.7111919811
0.184	65.8773286505
0.188	69.3154239226
0.192	72.3602976007
0.196	75.3245735635
0.2	78.3246751023
0.204	80.5575707091
0.208	83.9845512943
0.212	86.4652373903
0.216	88.560825653
0.22	90.5310452527
0.224	91.6892873768
0.228	93.6654626136
0.232	94.6953534898
0.236	95.602848755
0.24	96.8118448708
0.244	97.9223239295
0.248	97.7103667618
0.252	97.8954550454
0.256	97.4267953817
0.26	97.6924629108
0.264	98.865635238
0.268	97.8536654911
0.272	99.2686369223
0.276	98.9223543996
0.28	99.0178727851
0.284	97.6984453589
0.288	96.6476603014
0.292	97.3581196649
0.296	97.4387251257
0.3	97.4088825937
0.304	97.0625917297
0.308	96.8267661369
0.312	96.3372027589
0.316	95.1938729638
0.32	95.0923810671
0.324	94.2296585369
0.328	93.5072515553
0.332	93.9012971435
0.336	93.3938126363
0.34	93.7311474041
0.344	93.5759099938
0.348	93.7729369585
0.352	93.4147074135
0.356	93.5281463325
0.36	92.9997753894
0.364	92.3878164005
0.368	93.0923195312
0.372	92.5520015658
0.376	92.0236222814
0.38	92.2206403091
0.384	91.951981258
0.388	91.7549542933
0.392	91.080310973
0.396	91.8683932123
0.4	92.3758693782
0.404	91.8176559031
0.408	91.7698755593
0.412	91.6474972267
0.416	91.72510342
0.42	91.4116632926
0.424	92.1639211475
0.428	92.1848332029
0.432	92.1699035957
0.436	91.850472083
0.44	91.6803223437
0.444	91.9728676939
0.448	92.0594466658
0.452	92.2624304592
0.456	92.3728778562
0.46	92.5221417555
0.464	92.4146763476
0.468	92.1788507548
0.472	92.1460083595
0.476	91.8982530226
0.48	91.838542339
0.484	91.7489891234
0.488	91.8206301468
0.492	91.8624197011
0.496	91.4982339233
0.5	91.8654106273
0.504	92.2624304592
0.508	93.4057596586
0.512	92.0982536352
0.516	92.0504905697
0.52	92.2982548437
0.524	92.9400736428
0.528	92.6445457076
0.532	92.6236419934
0.536	92.8893273965
0.54	93.1669514808
0.544	93.6833754016
0.548	92.6743882396
0.552	92.6057387382
0.556	93.214706205
0.56	93.7998052468
0.564	94.0714468828
0.568	94.3431057971
0.572	93.7789021284
0.576	93.7132262749
0.58	93.8744288552
0.584	94.7043006488
0.588	94.4505628638
0.592	95.2744611463
0.596	95.6118048511
0.6	95.3222331488
0.604	95.4685144631
0.608	95.847621507
0.612	95.8327002409
0.616	95.3849264173
0.62	94.5341509095
0.624	94.958056308
0.628	95.3132859897
0.632	95.8028493677
0.636	95.5909011369
0.64	95.9521132669
0.644	96.3789833763
0.648	96.2386845102
0.652	96.1431577834
0.656	95.8595518468
0.66	96.3968961643
0.664	96.5133176682
0.668	96.835722233
0.672	96.7879591675
0.676	96.5819844479
0.68	96.7909500937
0.684	96.590940544
0.688	97.3849879533
0.692	97.4745501059
0.696	97.125276657
0.7	97.241698161
0.704	97.4984358093
0.708	97.4536463917
0.712	97.7133582837
0.716	97.4387251257
0.72	97.4148477636
0.724	97.7133582837
0.728	97.6387263341
0.732	98.1462191825
0.736	97.7491826682
0.74	97.2715490343
0.744	97.3790233791
0.748	97.4446986368
0.752	97.838744225
0.756	97.8894815342
0.76	98.0805439248
0.764	99.1701186735
0.768	98.101438702
0.772	97.6476824302
0.776	98.0596491477
0.78	98.1223334792
0.784	98.09844718
0.788	98.4208434035
0.792	98.3044218996
0.796	98.4268175105
0.8	98.2984573255
0.804	98.8596700681
0.808	98.979074157
0.812	99.3820758413
0.816	99.5910331458
0.82	99.7134281609
0.824	99.7999987916
0.828	99.9940258931
0.832	99.7970162066
0.836	98.4089047225
0.84	99.1790837066
0.844	99.107443279
0.848	98.1999480137
0.852	98.1521843525
0.856	98.6745817844
0.86	98.346220391
0.864	98.2506763859
0.868	98.7969767995
0.872	98.6865288067
0.876	98.734292468
0.88	98.4447297027
0.884	98.9999605929
0.888	98.4626335537
0.892	98.6208529532
0.896	98.3342817099
0.9	98.850713972
0.904	99.5373049104
0.908	100.0
