V	uW
0.0	0.890258718
0.05	0.186053015
0.1	0.138949204
0.15	0.129528445
0.2	0.122463206
0.25	0.11543203
0.3	0.136527404
0.35	0.172792284
0.4	0.237500302
0.45	0.315244733
0.5	0.424276578
0.55	0.591616754
0.6	0.783844655
0.65	1.00735974
0.7	1.29439809
0.75	1.67008375
0.8	2.05572474
0.85	2.50583662
0.9	3.01804926
0.95	3.64782636
1.0	4.31102444
1.05	5.00882788
1.1	5.73791885
1.15	6.54831001
1.2	7.49214632
1.25	8.37696371
1.3	9.28832742
1.35	10.2745917
1.4	11.7124036
1.45	12.4542912
1.5	13.4057927
1.55	14.3714242
1.6	15.4830796
1.65	16.5264337
1.7	17.6074718
1.75	18.6225625
1.8	19.7271493
1.85	20.72811
1.9	21.6395747
1.95	22.4733158
2.0	23.281149
2.05	23.938248
2.1	24.5506017
2.15	25.0946523
2.2	25.5444938
2.25	26.0131819
2.3	26.427695
2.35	26.7503583
2.4	27.1059926
2.45	27.4686954
2.5	27.7536728
2.55	28.0410059
2.6	28.2883047
2.65	28.4625894
2.7	28.5897695
2.75	28.7051753
2.8	28.8135107
2.85	28.9406962
2.9	29.0772987
2.95	29.192699
3.0	29.3198827
3.05	29.4235106
3.1	29.5271384
3.15	29.5907303
3.2	29.6378348
3.25	29.6755188
3.3	29.7249753
3.35	29.7932766
3.4	29.8521554
3.45	29.9534295
3.5	30.0711927
3.55	30.1677555
3.6	30.221925
3.65	30.2478293
3.7	30.236055
3.75	30.2077951
3.8	30.2054377
3.85	30.179528
3.9	30.1583332
3.95	30.1677555
4.0	30.1347809
4.05	30.1088767
4.1	30.075902
4.15	30.0123083
4.2	29.9699168
4.25	29.9086823
4.3	29.8639334
4.35	29.8003415
4.4	29.7697225
4.45	29.6920061
4.5	29.5860227
4.55	29.4941692
4.6	29.4211532
4.65	29.3151697
4.7	29.2492259
4.75	29.16208
4.8	29.0867156
4.85	29.0419666
4.9	28.9642485
4.95	28.8276478
5.0	28.7334369
5.05	28.6486484
5.1	28.577997
5.15	28.5049809
5.2	28.4154848
5.25	28.349541
5.3	28.3236313
5.35	28.3047921
5.4	28.2694618
5.45	28.2482652
5.5	28.2270703
5.55	28.1893863
5.6	28.1281518
5.65	28.0716231
5.7	28.0504282
5.75	27.9797696
5.8	27.8949883
5.85	27.878501
5.9	27.8455263
5.95	27.7866475
6.0	27.7065719
6.05	27.6170704
6.1	27.6312003
6.15	27.7136369
6.2	27.8031348
6.25	27.7937124
6.3	27.6759547
6.35	27.6665323
6.4	27.6453375
6.45	27.6264927
6.5	27.5982311
6.55	27.6594674
6.6	27.7207037
6.65	27.7277686
6.7	27.6547526
6.75	27.5841012
6.8	27.5134425
6.85	27.471051
6.9	27.4498507
6.95	27.4498507
7.0	27.4474987
