V	uW
0.0	4.36282653
0.05	0.797544942
0.1	0.39879933
0.15	0.28152499
0.2	0.304975543
0.25	0.17898779
0.3	0.247288654
0.35	0.400376393
0.4	0.614699729
0.45	0.906744731
0.5	1.31654997
0.55	1.91706476
0.6	2.59211379
0.65	3.44967293
0.7	4.49353411
0.75	5.8644905
0.8	7.34684954
0.85	9.05604247
0.9	11.3285059
0.95	13.43641
1.0	15.8457788
1.05	18.4836044
1.1	21.3192652
1.15	24.4281309
1.2	28.0598506
1.25	31.5832294
1.3	35.3444848
1.35	39.3153532
1.4	43.7878771
1.45	47.9707123
1.5	52.3231247
1.55	56.7249917
1.6	61.6214529
1.65	65.9785801
1.7	70.2014513
1.75	74.2806587
1.8	78.5718366
1.85	82.2106158
1.9	85.4819882
1.95	88.4189285
2.0	91.193353
2.05	93.3460105
2.1	95.1995535
2.15	96.8010863
2.2	98.1294143
2.25	99.370598
2.3	100.225538
2.35	100.755467
2.4	101.162914
2.45	101.483209
2.5	101.61275
2.55	101.754071
2.6	101.977821
2.65	102.269856
2.7	102.564256
2.75	102.693797
2.8	102.832761
2.85	102.915175
2.9	103.030587
2.95	103.176615
3.0	103.287297
3.05	103.348539
3.1	103.334409
3.15	103.374441
3.2	103.350903
3.25	103.332051
3.3	103.306149
3.35	103.301427
3.4	103.360311
3.45	103.374441
3.5	103.327344
3.55	103.266102
3.6	103.20251
3.65	103.15542
3.7	103.089471
3.75	103.014092
3.8	102.851591
3.85	102.778577
3.9	102.630205
3.95	102.425292
4.0	102.312246
4.05	102.316953
4.1	102.305181
4.15	102.133257
4.2	101.954261
4.25	101.909507
4.3	101.954261
4.35	102.154452
4.4	102.305181
4.45	102.272221
4.5	102.116763
4.55	101.963691
4.6	101.754071
4.65	101.610407
4.7	101.57036
4.75	101.499703
4.8	101.433754
4.85	101.391364
4.9	101.348975
4.95	101.299513
5.0	101.311285
5.05	101.407859
5.1	101.473808
5.15	101.471443
5.2	101.504425
5.25	101.542093
5.3	101.636309
5.35	101.697551
5.4	101.749349
5.45	101.864753
5.5	102.107355
5.55	102.314611
5.6	102.465347
5.65	102.604288
5.7	102.792706
5.75	103.014092
5.8	103.209575
5.85	103.428618
5.9	103.591119
5.95	103.715953
6.0	103.730083
6.05	103.755985
6.1	103.770115
6.15	103.737148
6.2	103.807804
6.25	107.615357
6.3	105.129038
6.35	104.636441
6.4	104.612991
6.45	104.54264
6.5	104.659914
6.55	104.706814
6.6	104.753737
6.65	104.824088
6.7	104.941384
6.75	104.917912
6.8	104.988285
6.85	105.035208
6.9	105.129038
6.95	105.082116
7.0	104.917912
