V	uW
0.0	5.84055624
0.05	1.00865384
0.1	0.539534994
0.15	0.328436869
0.2	0.351887451
0.25	0.195473788
0.3	0.310878477
0.35	0.494584015
0.4	0.76072223
0.45	1.15168586
0.5	1.67454027
0.55	2.46103855
0.6	3.35604773
0.65	4.47054254
0.7	5.8381811
0.75	7.64692413
0.8	9.59764566
0.85	12.2069951
0.9	14.4938949
0.95	17.645154
1.0	20.8576475
1.05	24.3951581
1.1	28.1705434
1.15	32.3486674
1.2	37.2663271
1.25	42.040323
1.3	47.113419
1.35	52.455016
1.4	58.4678382
1.45	64.0755752
1.5	69.7633805
1.55	75.6160516
1.6	82.3330847
1.65	88.4471883
1.7	94.3210616
1.75	99.9240729
1.8	108.905413
1.85	111.368281
1.9	115.519957
1.95	119.530909
2.0	123.706035
2.05	126.919491
2.1	129.710737
2.15	132.126675
2.2	134.143876
2.25	135.856157
2.3	137.146213
2.35	138.014075
2.4	138.694304
2.45	139.444892
2.5	139.984375
2.55	140.476957
2.6	140.594231
2.65	140.218923
2.7	139.773256
2.75	140.19548
2.8	140.734948
2.85	140.781878
2.9	140.430027
2.95	139.984375
3.0	140.172022
3.05	140.523858
3.1	140.875694
3.15	141.063341
3.2	141.180615
3.25	141.508994
3.3	141.60281
3.35	141.579367
3.4	141.344819
3.45	141.133714
3.5	140.430027
3.55	140.007833
3.6	140.19548
3.65	140.078206
3.7	140.054733
3.75	139.93746
3.8	139.773256
3.85	139.890559
3.9	139.867087
3.95	139.890559
4.0	139.984375
4.05	140.125107
4.1	140.289296
4.15	140.359669
4.2	140.14855
4.25	139.820186
4.3	139.796728
4.35	139.749813
4.4	139.773256
4.45	139.515265
4.5	139.820186
4.55	140.359669
4.6	140.359669
4.65	140.289296
4.7	140.359669
4.75	140.312754
4.8	140.312754
4.85	140.19548
4.9	140.172022
4.95	140.101649
5.0	139.843629
5.05	139.67944
5.1	139.351061
5.15	139.210344
5.2	139.04614
5.25	138.83505
5.3	138.811578
5.35	138.881951
5.4	138.975767
5.45	139.327618
5.5	139.397962
5.55	139.210344
5.6	139.093041
5.65	139.163414
5.7	139.397962
5.75	139.562166
5.8	139.632539
5.85	139.890559
5.9	140.24238
5.95	140.359669
6.0	140.476957
6.05	140.570774
6.1	140.781878
6.15	140.992968
6.2	141.063341
6.25	141.180615
6.3	141.274446
6.35	141.368262
6.4	141.39172
6.45	141.508994
6.5	141.579367
6.55	141.60281
6.6	141.720113
6.65	141.790457
6.7	141.884288
6.75	141.884288
6.8	141.86083
6.85	141.884288
6.9	141.954661
6.95	142.189223
7.0	142.37687
